N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,800",200,+0.25%,100,"4,704,189","5,969,783",51.97,"10,242,808",15.27,9.99,
2,SK하이닉스,"129,000",500,+0.39%,"5,000","939,123","728,002",48.99,"3,126,222",11.66,9.53,
3,NAVER,"365,500","10,500",-2.79%,100,"599,599","164,049",56.14,"673,353",3.62,15.22,
4,삼성전자우,"71,500",100,+0.14%,100,"588,364","822,887",74.54,"431,879",13.86,N/A,
5,삼성바이오로직스,"886,000","25,000",-2.74%,"2,500","586,222","66,165",11.08,"57,171",142.81,N/A,
6,카카오,"111,500","3,000",-2.62%,100,"497,050","445,785",30.94,"1,818,156",43.90,2.70,
7,LG화학,"643,000","25,000",+4.05%,"5,000","453,909","70,592",46.98,"341,829",16.76,2.93,
8,현대차,"209,000","1,500",-0.71%,"5,000","446,567","213,668",28.22,"407,828",10.59,2.04,
9,삼성SDI,"648,000","2,000",-0.31%,"5,000","445,594","68,765",45.44,"171,687",40.64,4.54,
10,기아,"83,100",500,+0.61%,"5,000","336,857","405,363",34.85,"825,847",7.53,5.05,
11,카카오뱅크,"57,300","1,800",-3.05%,"5,000","272,266","475,159",17.15,"984,156",185.44,5.08,
12,셀트리온,"194,000","4,500",-2.27%,"1,000","267,617","137,947",19.98,"533,347",49.36,16.68,
13,POSCO,"286,500","6,500",+2.32%,"5,000","249,790","87,187",52.29,"273,188",4.29,3.61,
14,현대모비스,"255,000","1,500",-0.58%,"5,000","241,161","94,573",34.20,"127,220",10.27,4.66,
15,SK이노베이션,"254,000","6,000",+2.42%,"5,000","234,863","92,466",23.35,"603,709","-7,470.59",-13.58,
16,KB금융,"56,200",900,+1.63%,"5,000","233,684","415,808",69.47,"752,140",5.37,8.53,
17,LG전자,"141,500","2,000",+1.43%,"5,000","231,562","163,648",28.91,"1,241,049",20.42,13.23,
18,카카오페이,"169,000","7,500",-4.25%,500,"222,882","131,883",42.78,"247,497",-840.80,-17.97,
19,삼성물산,"117,000",500,-0.43%,100,"218,658","186,887",14.92,"278,164",13.31,3.81,
20,크래프톤,"443,000","17,000",-3.70%,100,"216,924","48,967",30.40,"175,130",34.72,61.86,
21,신한지주,"37,550",300,+0.81%,"5,000","193,983","516,600",60.40,"892,025",4.98,8.20,
22,SK,"255,000",500,-0.20%,200,"189,081","74,149",21.71,"122,799",29.80,1.11,
23,LG생활건강,"1,107,000","3,000",+0.27%,"5,000","172,893","15,618",43.06,"22,286",23.04,17.92,
24,SK바이오사이언스,"223,000","6,500",-2.83%,500,"170,595","76,500",5.94,"326,720",85.87,13.25,
25,엔씨소프트,"657,000","10,000",-1.50%,500,"144,238","21,954",44.68,"97,359",40.56,20.83,
26,삼성전기,"193,000","1,500",-0.77%,"5,000","144,159","74,694",30.51,"439,655",14.84,10.92,
27,한국전력,"21,950",400,-1.79%,"5,000","140,911","641,964",14.67,"1,430,897",-12.93,2.91,
28,하이브,"336,500","14,000",-3.99%,500,"139,154","41,353",16.74,"192,108",119.71,12.52,
29,HMM,"27,150",150,-0.55%,"5,000","132,774","489,039",10.70,"949,936",3.42,8.93,
30,삼성생명,"64,800",300,+0.47%,500,"129,600","200,000",12.26,"207,924",8.28,3.53,
31,LG,"82,000","1,000",+1.23%,"5,000","128,987","157,301",35.99,"309,970",5.41,7.50,
32,하나금융지주,"42,550",200,+0.47%,"5,000","127,753","300,242",67.69,"563,670",3.97,8.96,
33,SK텔레콤,"56,500",700,-1.22%,100,"123,641","218,833",44.60,"751,754",8.77,6.44,
34,삼성에스디에스,"156,500",0,0.00%,500,"121,096","77,378",11.04,"69,737",17.82,6.71,
35,SK아이이테크놀로지,"159,000","5,500",-3.34%,"1,000","113,363","71,298",11.78,"284,612",104.54,11.00,
36,포스코케미칼,"142,500","1,000",-0.70%,500,"110,385","77,463",6.11,"145,010",79.56,2.96,
37,KT&G,"78,300",700,-0.89%,"5,000","107,500","137,292",35.13,"357,826",9.03,13.22,
38,두산중공업,"20,600",350,-1.67%,"5,000","107,310","520,921",8.65,"2,085,088",61.13,-37.20,
39,넷마블,"122,000","5,500",-4.31%,100,"104,863","85,954",22.78,"269,916",45.12,6.35,
40,대한항공,"29,100",400,-1.36%,"5,000","101,216","347,821",11.95,"966,524",13.67,-7.22,
41,S-Oil,"89,900","4,000",+4.66%,"2,500","101,212","112,583",77.69,"371,796",8.66,-13.07,
42,SK스퀘어,"70,000","3,500",+5.26%,100,"99,027","141,468",38.57,"2,695,083",N/A,N/A,
43,삼성화재,"206,500","2,000",+0.98%,500,"97,829","47,375",48.22,"84,330",8.93,4.96,
44,아모레퍼시픽,"166,000","2,000",-1.19%,500,"97,098","58,493",30.35,"155,876",64.02,0.78,
45,고려아연,"511,000","1,000",+0.20%,"5,000","96,426","18,870",18.29,"21,185",12.78,8.37,
46,우리금융지주,"13,000",200,+1.56%,"5,000","94,648","728,061",30.03,"1,824,808",3.98,5.87,
47,LG디스플레이,"25,800","1,100",+4.45%,"5,000","92,316","357,816",17.49,"8,748,175",5.85,-0.79,
48,현대중공업,"101,500","3,900",+4.00%,"5,000","90,105","88,773",1.77,"335,542",-11.08,-7.86,
49,LG이노텍,"349,500","21,000",-5.67%,"5,000","82,717","23,667",26.48,"589,678",11.08,10.20,
50,KT,"30,050",300,-0.99%,"5,000","78,464","261,112",43.63,"923,845",7.68,4.76,
